1,4.55947
2,4.54800
3,4.55471
4,4.55080
5,4.55199
6,4.55203
7,4.55031
8,4.55668
9,4.55526
10,4.55902
11,4.56164
12,4.55017
13,4.55350
14,4.55759
15,4.55137
16,4.55301
17,4.55279
18,4.55603
19,4.55462
20,4.55795
21,4.55086
22,4.55627
23,4.55366
24,4.54819
25,4.56006
26,4.55311
27,4.54814
28,4.55311
29,4.55154
30,4.55776
31,4.56128
32,4.55124
33,4.55360
34,4.55524
35,4.55195
36,4.55121
37,4.56017
38,4.55294
39,4.55459
40,4.55328
41,4.56065
42,4.55418
43,4.55659
44,4.55901
45,4.55662
46,4.55335
47,4.55580
48,4.55337
