1,4.50497
2,4.50065
3,4.50096
4,4.49834
5,4.50427
6,4.49987
7,4.49906
8,4.50386
9,4.50405
10,4.50035
11,4.50117
12,4.50272
13,4.49898
14,4.50374
15,4.50485
16,4.49539
17,4.50357
18,4.49697
19,4.50423
20,4.50743
21,4.50260
22,4.49769
23,4.49909
24,4.49433
25,4.49873
26,4.49647
27,4.50520
28,4.50123
29,4.50347
30,4.49822
31,4.50491
32,4.49442
33,4.50284
34,4.50371
35,4.52982
36,4.52143
37,4.50443
38,4.49766
39,4.49324
40,4.49569
41,4.50250
42,4.50164
43,4.50567
44,4.50699
45,4.50387
46,4.49930
47,4.50201
48,4.50102
